-scaffold-2794 -scaffold-8740
411	430
-scaffold-2540 +scaffold-3976
261	1046
-scaffold-5497 +scaffold-22194
325	858
+scaffold-1106 +scaffold-3712[124492:469099]
237	2005
+scaffold-13781 -scaffold-2573
246	1283
+scaffold-12912 -scaffold-6193
184	288
-scaffold-3518 +scaffold-5867
119	287
-scaffold-4890 +scaffold-5739
238	3333
+scaffold-9066[0:182041] +scaffold-8351
118	1506
-scaffold-11839 +scaffold-4980
556	341
-scaffold-23027 -scaffold-18537
92	819
-scaffold-2183 -scaffold-4029
104	1451
+scaffold-2554 +scaffold-12943[116454:447843]
134	1161
-scaffold-11478 -scaffold-15038
75	770
-scaffold-2018 -scaffold-17343
147	730
-scaffold-9962 +scaffold-5106[18457:137618]
78	1065
-scaffold-5325 +scaffold-14172
226	345
+scaffold-6105 -scaffold-1515
118	733
-scaffold-4489 -scaffold-7505
357	450
-scaffold-9170 -scaffold-11221
150	630
-scaffold-8623 -scaffold-11197
94	1295
-scaffold-15013[0:19319] -scaffold-15013[19419:349585]
186	297
+scaffold-2200[124283:709057] +scaffold-2200[0:124183]
69	1636
-scaffold-23234 -scaffold-9686
607	936
+scaffold-18357 +scaffold-14453
51	430
+scaffold-14453 +scaffold-22920
48	371
+scaffold-15133[57961:61372] +scaffold-837
117	539
+scaffold-4210 +scaffold-3144
206	961
+scaffold-686 -scaffold-963
96	761
-scaffold-522 -scaffold-17002
80	1437
-scaffold-22414 -scaffold-13375
174	574
+scaffold-17784 +scaffold-15597
156	746
-scaffold-558 +scaffold-15232
166	296
+scaffold-974 +scaffold-1965
80	1404
+scaffold-15831 +scaffold-421
154	322
+scaffold-1660 -scaffold-6282
205	729
+scaffold-10210 -scaffold-22434
131	2330
-scaffold-17387 +scaffold-3468
104	1519
-scaffold-15661 +scaffold-13953
414	961
-scaffold-5539 +scaffold-1272
60	1561
+scaffold-11305 +scaffold-9357
201	1226
+scaffold-16944 +scaffold-16724
77	1316
-scaffold-11330 +scaffold-7759
125	1136
+scaffold-5265 -scaffold-2761
229	1140
-scaffold-10036 +scaffold-22870
146	625
-scaffold-16790 -scaffold-21030
104	920
+scaffold-19526 +scaffold-12130
58	1321
-scaffold-8281 -scaffold-19226
403	1326
+scaffold-1616 -scaffold-7472
155	1188
-scaffold-9730 +scaffold-11074
86	1595
-scaffold-10507 -scaffold-12950
83	5596
+scaffold-12891 -scaffold-8474
145	1558
-scaffold-1743 +scaffold-12077
111	750
-scaffold-3540 +scaffold-14656
92	2273
+scaffold-15482 +scaffold-2998
161	799
-scaffold-4719 -scaffold-7289
1596	1079
-scaffold-6268[128324:144464] -scaffold-4680
106	1652
-scaffold-15502 +scaffold-21470
122	591
+scaffold-21049 +scaffold-2383
138	862
+scaffold-15364 +scaffold-14402
101	226
-scaffold-4081 -scaffold-5061
162	1291
+scaffold-10097 -scaffold-19054
92	959
-scaffold-21903 +scaffold-18338
130	1200
+scaffold-7965 +scaffold-15354
157	344
+scaffold-14961 -scaffold-13545
229	1676
-scaffold-6913 -scaffold-169
217	575
+scaffold-21236 +scaffold-1247
56	1536
+scaffold-6761 -scaffold-21818
104	1520
-scaffold-1733 +scaffold-18204[0:65560]
141	8064
+scaffold-1089[0:347913] +scaffold-11250
145	1739
-scaffold-14189 +scaffold-4903
144	354
+scaffold-17876 +scaffold-19737
746	1681
+scaffold-8816 +scaffold-19686
243	420
+scaffold-3535 +scaffold-12127
94	798
+scaffold-10792 -scaffold-22381[96226:434916]
117	1484
-scaffold-3143 -scaffold-16558
130	643
-scaffold-3103 +scaffold-14748
229	741
-scaffold-21171 +scaffold-9269
91	1435
+scaffold-15919[0:79920] +scaffold-18535
90	401
+scaffold-18665 +scaffold-20950
105	844
-scaffold-20194 +scaffold-20776
90	1086
-scaffold-11241 -scaffold-3856
56	1395
+scaffold-11262 +scaffold-2137
143	1426
-scaffold-15643 +scaffold-2642
161	976
+scaffold-16965 -scaffold-15728
84	859
+scaffold-9598 -scaffold-21198
202	557
-scaffold-8108 -scaffold-3509
511	1284
+scaffold-4304 +scaffold-11333
223	1386
+scaffold-6731 +scaffold-19970
166	723
-scaffold-6208 -scaffold-8664
76	1664
+scaffold-11566 -scaffold-11715
310	428
+scaffold-127[0:171684] -scaffold-17462
67	4292
+scaffold-2058[26461:90249] -scaffold-11133
110	861
-scaffold-15033[470519:587745] -scaffold-15033[587845:622133]
52	1508
+scaffold-458 +scaffold-11904
303	1616
-scaffold-10396 -scaffold-17473
667	307
-scaffold-3646 +scaffold-18753
176	870
